M _BH            M _*               Err_M_*                err_M_BH_m                  err_M_BH_p                 z
10.6	        12.4                0.1	                    0.08                         0.1                     0.0554
9.39	        11.6                0.09	                0.08                         0.03                    0.006
9.59	        11.9                0.12	                0.05                         0.05                    0.0363
9.04	        11.69               0.12	                0.09                         0.09                    0.0123
8.94	        11.26               0.09	                0.04                         0.02                    0.008
8.29	        10.98               0.15	                0.01                         0.01                    0.006
8.22	        10.98               0.09	                0.16                         0.25                    0.0058
9.69	        11.2                0.1	                    0.13                         0.19                    0.0179
9.48	        11.06               0.07	                0.12                         0.2                     0.0199
9.69	        11.08               0.07	                0.12                         0.17                    0.0168
9.17	        11.27               0.09	                0.06                         0.06                    0.0054
8.77	        10.65               0.09	                0.04                         0.04                    0.0043
8.94	        11.5                0.09	                0.31                         0.31                    0.0047
9.67	        11.74               0.09	                0.06                         0.04                    0.0059
9.46	        11.74               0.15	                0.06                         0.06                    0.013
9.59	        11.33               0.09	                0.06                         0.09                    0.0124
10.23	        11.92               0.09	                0.04                         0.04                    0.0156
7.18	        9.71                0.09	                0.05                         0.7                     0.0035
9.23	        11.69               0.15	                0.09                         0.12                    0.0161
8.23	        10.23               0.15	                0.02                         0.03                    0.0023
9.57	        11.61               0.09	                0.01                         0.06                    0.0132
8.95	        10.92               0.09	                0.03                         0.16                    0.0022
8.38	        10.69               0.09	                0.05                         0.17                    0.0044
8.25	        10.5                0.09	                0.18                         0.32                    0.0022
8.62	        10.91               0.09	                0.1	                         0.12                    0.003
8.52	        11.26               0.09	                0.16                         0.08                    0.0048
8.67	        11.01               0.09	                0.08                         0.1                     0.003
9.96	        11.77               0.09	                0.1	                         0.16                    0.0208
9.45	        11.4                0.12	                0.13                         0.13                    0.0058
8.99	        10.85               0.09	                0.12                         0.16                    0.0059
7.6	            10.37               0.12	                0.35                         0.3                     0.0042
8.65	        10.46               0.12	                0.18                         0.18                    0.0025
8.86	        10.75               0.12	                0.42                         0.6                     0.004
8.97	        11.62               0.09	                0.04                         0.04                    0.0034
7.85	        10.38               0.12	                0.15                         0.15                    0.0036
9.4 	        11.84               0.09	                0.09                         0.02                    0.0033
7.95	        10.85               0.09	                0.18                         0.3                     0.0075
7.18	        10.04               0.09	                0.12                         0.22                    0.0025
8.76	        9.66                0.12	                0.24                         0.24                    0.0363
8.65	        11.02               0.3	                    0.12                         0.11                    0.0021
7.94	        10.38               0.09	                0.11                         0.14                    0.0038
8.08	        10.69               0.2	                    0.03                         0.03                    0.006
8.6  	        11.12               0.12	                0.08                         0.08                    0.0016
9.67	        11.64               0.09	                0.09                         0.11                    0.0037
8.31	        10.97               0.09	                0.1	                         0.12                    0.0041
7.3	            10.35               0.12	                0.18                         0.3                     0.0042
9.23	        11.16               0.09	                0.02                         0.05                    0.007
10.32	        12.09               0.09	                0.25                         0.63                    0.0215
8	            11.55               0.12	                0.08                         0.1                     0.0094
8.93	        11.28               0.09	                0.18                         0.32                    0.0094
9.68	        11.65               0.09	                0.07                         0.23                    0.0158
9.86	        11.64               0.12	                0.14                         0.14                    0.0138
9.57	        11.6                0.09	                0.01                         0.14                    0.0138
8.44	        11                  0.09	                0.1	                         0.15                    0.005
8.69	        10.57               0.09	                0.12                         0.16                    0.0056
9.04	        11.62               0.16	                0.06                         0.06                    0.0057
9.57	        11.69               0.09	                0.17                         0.16                    0.0313
9.32	        11.25               0.09	                0.11                         0.02                    0.0094
8.66	        10.63               0.15	                0.12                         0.17                    0.0091
8.5	            10.78               0.15	                 0.1                         0.13                    0.0076
6.95	        9.56                0.09	                0.19                         0.18                    0.0028
9.36	        11.65               0.09	                0.18                         0.02                    0.0126
9.13	        11.75               0.09	                0.14                         0.16                    0.0267
9.81	        11.72               0.3	                    0.01                         0.01                    0.0043
8.1  	        10.82               0.3	                    0.04                         0.04                    0.0195
8.05	        10.4                0.3	                    0.03                         0.04                    0.0344
8.07	        10.49               0.3	                    0.12                         0.17                    0.0872
8.64	        10.66               0.3	                    0.04                         0.05                    0.0561
8.54	        10.55               0.3	                    0.09                         0.16                    0.1538
8.54	        10.69               0.3	                    0.12                         0.17                    0.0896
7.75	        10.7                0.3	                    0.04                         0.05                    0.033
8.07	        10.68               0.3	                    0.05                         0.06                    0.0327
8.67	        9.74                0.3	                    0.08                         0.13                    0.1146
8.84	        10.37               0.3	                    0.08                         0.11                    0.1583
9.07	        11.08               0.4	                    0.04                         0.06                    0.1927
8.34	        11.34               0.3	                    0.16                         0.27                    0.1211
8.79	        10.69               0.3	                    0.09                         0.1                     0.289
