zbest_b_[j]	EBV_b_[j]	e_EBV_[j]	E_EBV_[j]	SFR_b_[j]	e_SFR_[j]	E_SFR_[j]	Mstar_b_[j]	e_Mstar_[j]	E_Mstar_[j]	RA_b_[j]	DEC_b_[j]	SDSS_NAME_[i]	RA_[i]	Dec_[i]	REDSHIFT_[i]	LOG_MBH_[i]	LOG_MBH_ERR_[i]	LOG_LBOL_[i]	LOG_REDD_[i] 
0.8150	0.0927	0.0688	0.1165	5.880e+00	5.588e+00	6.172e+00	1.206e+11	5.265e+10	1.885e+11	9.31056	-3.45064	003714.53-032702.5	9.3105839	-3.4507156	0.815	8.307991365343836	0.1550425061955846	45.13415625387717	-1.313714197867901
0.8350	0.0088	0.0065	0.0111	1.592e+01	1.374e+01	1.810e+01	4.183e+11	1.904e+11	6.461e+11	11.84049	30.91313	004721.70+305447.1	11.840442	30.913116	0.835	7.862450106410142	0.2860784339817103	45.57582713163003	-0.42650206118135103
0.8360	0.0699	0.0514	0.0884	1.568e+01	8.755e+00	2.261e+01	1.296e+11	5.087e+10	2.083e+11	44.67227	-2.29622	025841.35-021746.5	44.672331	-2.2962499	0.836	8.293451390674033	0.05633959895633565	45.762736917232964	-0.6705935598423063
0.8745	0.0316	0.0236	0.0397	1.882e+00	6.877e-01	3.077e+00	1.556e+10	6.945e+09	2.417e+10	51.80423	-7.3424	032713.01-072032.9	51.804256	-7.3424711	0.8745	8.92542583426826	0.21157148880008703	45.25557924657045	-1.809725674099049
0.8620	0.1089	0.0808	0.1370	7.830e+00	2.442e+00	1.322e+01	6.470e+10	2.983e+10	9.957e+10	123.56381	31.65624	081415.33+313922.4	123.56388	31.656218	0.862	8.121145668932982	0.17149788490585574	45.38597041724432	-0.8750543380898962
0.8180	0.0306	0.0226	0.0386	8.628e+00	7.082e+00	1.018e+01	1.120e+11	4.459e+10	1.794e+11	129.17113	45.25869	083641.08+451531.0	129.17119	45.258646	0.818	8.361844701831496	0.03212588184003595	45.58738966758696	-0.914334120645771
0.8633	0.0199	0.0148	0.0250	2.438e+00	-4.948e+00	9.825e+00	2.015e+10	9.382e+09	3.092e+10	136.128	31.5665	090430.72+313358.9	136.12801	31.566392	0.8633	8.339376950790795	0.10420683479097156	45.54485665587792	-0.9343993813141103
0.8570	0.0715	0.0528	0.0902	4.163e+01	2.080e+01	6.247e+01	1.604e+11	5.085e+10	2.700e+11	142.89796	10.07681	093135.50+100436.6	142.89796	10.07684	0.857	7.892217727827415	0.094909003795793	45.497076932234044	-0.5350198819946075
0.8980	0.0251	0.0186	0.0317	7.732e+01	-1.474e+02	3.020e+02	6.389e+11	2.585e+11	1.019e+12	147.69803	4.45638	095047.53+042722.9	147.69808	4.4563768	0.898	8.917328925900481	0.053890841099679246	46.224546745877326	-0.832661266424392
0.8130	0.1585	0.1171	0.1999	2.164e+01	2.066e+01	2.262e+01	1.011e+11	2.655e+10	1.757e+11	148.36105	45.74533	095326.62+454443.1	148.36093	45.74531	0.813	8.53459656008407	0.11292423061092194	45.31011327399801	-1.3643623724872944
0.8974	0.0000	0.0000	0.0050	3.600e+01	3.213e+01	3.988e+01	4.672e+11	1.655e+11	7.689e+11	152.71236	24.71817	101050.96+244305.3	152.71239	24.718155	0.8974	9.260568890200076	0.03266812119400186	45.9818396701355	-1.4186083064658137
0.8203	0.0000	0.0000	0.0050	5.448e+01	5.058e+01	5.837e+01	2.546e+11	1.194e+11	3.899e+11	157.86977	3.69036	103128.74+034125.4	157.86977	3.6903815	0.8203	8.69356526109313	0.04679834335301899	45.88947833324776	-0.943966014246609
0.8662	0.0192	0.0141	0.0243	1.847e+01	1.559e+01	2.135e+01	8.685e+11	4.051e+11	1.332e+12	164.22807	44.93126	105654.72+445552.6	164.228	44.931301	0.8662	9.410151498907126	0.04380501476349918	45.97275450938197	-1.577276075926392
0.8439	0.0000	0.0000	0.0050	2.096e+01	-3.276e+01	7.468e+01	1.843e+11	8.146e+10	2.870e+11	175.55431	43.90559	114213.02+435420.1	175.55426	43.905606	0.8439006	8.443780383276081	0.06723789729633137	45.807272496460186	-0.7763869732171325
0.8729	0.0000	0.0000	0.0050	5.705e+01	3.400e+01	8.009e+01	1.135e+12	5.171e+11	1.752e+12	178.92722	2.23641	115542.53+021411.0	178.92723	2.2364057	0.8729	9.28265110691698	0.02615237079849479	46.20243188436702	-1.2200983089511939
0.8570	0.0094	0.0070	0.0119	1.549e+01	1.031e+01	2.068e+01	3.082e+11	1.069e+11	5.094e+11	183.46677	32.41707	121352.03+322501.3	183.46679	32.417039	0.857	8.856401202569206	0.02886730035719608	45.739604422199626	-1.2566758667708167
0.8746	0.0249	0.0183	0.0316	2.829e+01	1.099e+01	4.560e+01	2.338e+11	1.029e+11	3.647e+11	186.18784	49.43193	122445.09+492554.8	186.18789	49.43192	0.8746	8.708856593230031	0.07148693487571166	46.157139000500266	-0.6915966791310029
0.8240	0.0905	0.0668	0.1142	7.566e+00	1.477e+00	1.365e+01	6.651e+10	2.658e+10	1.064e+11	189.14058	65.9771	123633.74+655837.5	189.14058	65.977173	0.824	9.017044783687723	0.03895699482543103	45.51016880231264	-1.6467550677763187
0.8690	0.0251	0.0185	0.0318	2.438e+01	1.335e+01	3.541e+01	4.849e+11	2.286e+11	7.413e+11	190.86528	48.64327	124327.64+483835.8	190.86517	48.643257	0.869	8.098850971600486	0.13438806295459496	46.00646618876193	-0.23226386923979644
0.8050	0.0302	0.0222	0.0382	2.823e+01	1.726e+01	3.920e+01	1.312e+11	6.279e+10	1.996e+11	194.6149	63.95882	125827.59+635731.7	194.61495	63.958876	0.805	9.195083823858976	0.04351871731606861	45.85069456524593	-1.4842683450142824
0.8945	0.0000	0.0000	0.0050	3.967e+01	3.175e+01	4.760e+01	5.149e+11	1.636e+11	8.662e+11	196.24226	43.35537	130458.14+432119.4	196.24227	43.355396	0.8945	8.555717872849378	0.11310219431032234	46.167626035075166	-0.5279709241754491
0.8300	0.0408	0.0302	0.0514	8.646e+00	2.849e+00	1.444e+01	1.720e+11	6.330e+10	2.806e+11	202.63598	22.40158	133032.63+222405.6	202.63599	22.40157	0.83	8.301856333977373	0.09267179216277738	45.372313818857094	-1.0694216015215157
0.8450	0.0241	0.0178	0.0304	4.497e+00	3.955e+00	5.039e+00	2.097e+11	1.028e+11	3.165e+11	204.02924	50.59379	133607.03+503537.5	204.02927	50.593824	0.845	8.001318139340576	0.1108900490372505	45.1810414007016	-0.9601558250402109
0.8170	0.0441	0.0326	0.0556	9.328e+00	8.043e+00	1.061e+01	2.430e+11	1.111e+11	3.750e+11	218.63736	34.7098	143432.95+344235.5	218.63733	34.709868	0.817	8.3076563456228	0.05780147231820247	45.03405183142245	-1.413483600601584
0.8630	0.1259	0.0922	0.1596	1.162e+02	1.113e+02	1.212e+02	5.434e+11	1.448e+11	9.420e+11	234.4661	53.17286	153751.87+531022.2	234.46606	53.172896	0.863	9.004597022549264	0.037206209811936376	46.006202369578304	-1.1382737393721973
0.8375	0.0214	0.0157	0.0271	3.285e+01	3.230e+01	3.339e+01	2.669e+11	1.017e+11	4.320e+11	235.08191	55.4563	154019.63+552722.7	235.08183	55.456309	0.8375	8.223422407640141	0.04394648031152598	45.866493250920165	-0.4968082431212137
0.8260	0.0957	0.0705	0.1208	2.718e+01	2.424e+01	3.012e+01	1.270e+11	2.008e+10	2.340e+11	242.29871	14.91943	160911.67+145509.8	242.29866	14.919395	0.826	8.777669840202472	0.06889572982428283	45.573424355284466	-1.3441245713192436
0.8518	0.0000	0.0000	0.0050	2.406e+01	2.117e+01	2.696e+01	4.786e+11	1.389e+11	8.183e+11	332.13344	-0.87727	220832.02-005238.1	332.13341	-0.87726955	0.8518	9.534447964959865	0.045685697936460865	45.92421558977917	-1.7501114615819289
0.8650	0.1000	0.0744	0.1256	4.021e+00	-1.028e+01	1.833e+01	3.323e+10	1.587e+10	5.058e+10	349.01664	15.44094	231603.99+152627.2	349.01664	15.440895	0.865	7.828439446274865	0.265733520276919	45.31755665101066	-0.6507618816654405
