zbest_b_[j]	EBV_b_[j]	e_EBV_[j]	E_EBV_[j]	SFR_b_[j]	e_SFR_[j]	E_SFR_[j]	Mstar_b_[j]	e_Mstar_[j]	E_Mstar_[j]	RA_b_[j]	DEC_b_[j]	SDSS_NAME_[i]	RA_[i]	Dec_[i]	REDSHIFT_[i]	LOG_MBH_[i]	LOG_MBH_ERR_[i]	LOG_LBOL_[i]	LOG_REDD_[i]  LE[j]   LSbc[j]
0.8842	0.0316	0.008200000000000002	0.008199999999999999	6.248e+00	0.40700000000000003	0.40700000000000003	2.938e+11	19200000000.0	19100000000.0	0.46498	23.48271	000151.58+232857.6	0.46495295	23.482683	0.8842006	8.545817968516154	0.03850872062016359	45.44675995192183	-1.2389371029955643  4.801e+44 0.0
0.8180	0.0999	0.025800000000000003	0.025699999999999987	-9.990e+02	0.0	0.0	-9.990e+02	0.0	0.0	1.88965	22.89888	000733.50+225356.0	1.8896041	22.898915	0.818	8.307545478376639	0.14244332305792518	45.0428696023131	-1.404554962464779  3.987e+43 2.89e+44
0.8692	0.1171	0.029899999999999996	0.029899999999999996	-9.990e+02	0.0	0.0	-9.990e+02	0.0	0.0	1.99005	2.20203	000757.63+021207.3	1.9901296	2.2020495	0.8692001	7.967185007344435	0.18002506793745154	44.809570543115505	-1.2974935506301668  0.0 0.0
0.8020	0.0330	0.0086	0.0085	-9.990e+02	0.0	0.0	-9.990e+02	0.0	0.0	2.14799	29.46939	000835.50+292809.8	2.1479391	29.469394	0.802	8.196313051278327	0.12983944639288328	45.22228890669218	-1.1139032309873862  2.099e+44 0.0
0.8549	0.1000	0.02650000000000001	0.026499999999999996	0.000e+00	0.0	0.01	3.659e+09	69000000.0	69000000.0	2.38224	27.15848	000931.73+270930.4	2.3822292	27.158469	0.8548997	8.127430435958624	0.08052361341128661	45.627385111840205	-0.6399244105196563  0.0 0.0
0.8890	0.0392	0.010099999999999998	0.010099999999999998	1.798e+01	36.95	36.95	1.486e+11	25500000000.0	25400000000.0	2.55427	-8.53789	001013.02-083216.3	2.5542493	-8.5378854	0.889	7.737290432369962	0.32782368175407584	45.61704083396642	-0.26012868480477824  0.0 0.0
0.8220	0.0794	0.020699999999999996	0.0208	0.000e+00	0.0	0.01	2.231e+11	20400000000.0	20300000000.0	2.78378	8.22364	001108.09+081325.1	2.7837389	8.2236434	0.822	8.762528378276325	0.01913299429940241	45.18036885342762	-1.7220386112499393  0.0 0.0
0.8580	0.0631	0.016300000000000002	0.016299999999999995	1.803e+01	2.5500000000000007	2.539999999999999	8.427e+10	12320000000.0	12320000000.0	3.33409	5.91396	001320.19+055450.5	3.3341351	5.9140151	0.858	8.424328684061589	0.17505155913469292	45.46074592684348	-1.1034618436193464  3.626e+44 0.0
0.8610	0.0268	0.006999999999999999	0.0069	4.359e+00	0.2649999999999997	0.2649999999999997	2.050e+11	12500000000.0	12400000000.0	3.64822	23.10607	001435.57+230621.7	3.6482406	23.106048	0.861	8.469949129836174	0.10044260522564072	45.42984580631384	-1.179982409923568  1.318e+44 0.0
0.8999	0.1090	0.028399999999999995	0.02850000000000001	2.345e+01	0.7699999999999996	0.7800000000000011	4.808e+11	15900000000.0	16000000000.0	3.97237	19.90179	001553.35+195406.4	3.9723144	19.901793	0.8999009	7.835474041519289	0.03847561557484855	45.52019856113599	-0.4551545667845343  1.474e+46 3.421e+45
